Symptoms,Question_en,Question_ar
anxiety and nervousness,Do you feel anxious or nervous?,هل تشعر بالقلق أو التوتر؟
depressive or psychotic symptoms,Do you have depressive or psychotic symptoms?,هل لديك أعراض اكتئاب أو أعراض نفسية أخرى؟
sharp chest pain,Are you feeling a sharp pain in your chest?,هل تشعر بألم حاد في صدرك؟
abnormal involuntary movements,Do you experience abnormal involuntary movements?,هل تعاني من حركات غير إرادية غير طبيعية؟
chest tightness,Do you feel tightness in your chest?,هل تشعر بشد في صدرك؟
irregular heartbeat,Is your heartbeat irregular?,هل نبض قلبك غير منتظم؟
breathing fast,Are you breathing fast?,هل تتنفس بسرعة؟
hoarse voice,Is your voice hoarse?,هل صوتك أجش؟
sore throat,Do you have a sore throat?,هل لديك التهاب في الحلق؟
difficulty speaking,Are you having difficulty speaking?,هل تعاني من صعوبة في الكلام؟
nasal congestion,Do you have nasal congestion?,هل لديك احتقان في الأنف؟
throat swelling,Is your throat swollen?,هل حلقك متورم؟
diminished hearing,Have you noticed diminished hearing?,هل لاحظت انخفاضًا في السمع؟
lump in throat,Do you feel a lump in your throat?,هل تشعر بوجود كتلة في حلقك؟
throat feels tight,Does your throat feel tight?,هل تشعر بأن حلقك مشدود؟
difficulty in swallowing,Are you having difficulty swallowing?,هل تعاني من صعوبة في البلع؟
skin swelling,Is your skin swollen?,هل جلدك متورم؟
retention of urine,Are you having difficulty urinating or retaining urine?,هل تعاني من صعوبة في التبول أو الاحتفاظ بالبول؟
groin mass,Do you have a mass in your groin?,هل لديك كتلة في الفخذ؟
leg pain,Do you feel pain in your legs?,هل تشعر بألم في ساقيك؟
hip pain,Do you have hip pain?,هل لديك ألم في الورك؟
suprapubic pain,Do you feel pain in your lower abdomen (suprapubic area)?,هل تشعر بألم في أسفل البطن (منطقة العانة)؟
blood in stool,Have you noticed blood in your stool?,هل لاحظت دمًا في برازك؟
lack of growth,Are you concerned about lack of growth?,هل تشعر بالقلق بشأن نقص النمو؟
emotional symptoms,Are you experiencing emotional symptoms?,هل تعاني من أعراض عاطفية؟
elbow weakness,Do you feel weakness in your elbow?,هل تشعر بضعف في مرفقك؟
back weakness,Do you feel weakness in your back?,هل تشعر بضعف في ظهرك؟
pus in sputum,Is there pus in your sputum?,هل يوجد صديد في البلغم الخاص بك؟
symptoms of the scrotum and testes,Do you have symptoms related to your scrotum or testes?,هل لديك أعراض تتعلق بكيس الصفن أو الخصيتين؟
swelling of scrotum,Is your scrotum swollen?,هل كيس الصفن لديك متورم؟
pain in testicles,Are you experiencing pain in your testicles?,هل تشعر بألم في خصيتيك؟
flatulence,Are you experiencing excessive gas (flatulence)?,هل تعاني من غازات مفرطة (انتفاخ)؟
pus draining from ear,Is there pus draining from your ear?,هل هناك صديد يتسرب من أذنك؟
mass in scrotum,Have you noticed a mass in your scrotum?,هل لاحظت كتلة في كيس الصفن؟
white discharge from eye,Is there a white discharge from your eye?,هل هناك إفراز أبيض من عينك؟
irritable infant,Is your infant irritable?,هل طفلك عصبي؟
abusing alcohol,Are you concerned about alcohol abuse?,هل تشعر بالقلق بشأن إساءة استخدام الكحول؟
fainting,Have you experienced fainting?,هل شعرت بالإغماء؟
hostile behavior,Are you displaying hostile behavior?,هل تظهر سلوكًا عدوانيًا؟
drug abuse,Are you concerned about drug abuse?,هل تشعر بالقلق بشأن إساءة استخدام المخدرات؟
sharp abdominal pain,Are you feeling sharp pain in your abdomen?,هل تشعر بألم حاد في البطن؟
feeling ill,Do you generally feel unwell?,هل تشعر عمومًا بعدم الارتياح؟
vaginal itching,Do you have vaginal itching?,هل لديك حكة مهبلية؟
vaginal dryness,Are you experiencing vaginal dryness?,هل تعاني من جفاف مهبلي؟
involuntary urination,Are you urinating involuntarily?,هل تتبول بشكل غير إرادي؟
pain during intercourse,Is intercourse painful?,هل الجماع مؤلم؟
lower abdominal pain,Do you have lower abdominal pain?,هل لديك ألم في أسفل البطن؟
vaginal discharge,Is there an unusual vaginal discharge?,هل هناك إفراز غير عادي من المهبل؟
hot flashes,Are you experiencing hot flashes?,هل تعاني من الهبات الساخنة؟
intermenstrual bleeding,Do you have bleeding between menstrual periods?,هل لديك نزيف بين فترات الحيض؟
hand or finger pain,Do your hands or fingers hurt?,هل تشعر بألم في يديك أو أصابعك؟
wrist pain,Do you feel wrist pain?,هل تشعر بألم في معصمك؟
hand or finger swelling,Are your hands or fingers swollen?,هل يديك أو أصابعك متورمة؟
arm pain,Do you feel pain in your arm?,هل تشعر بألم في ذراعك؟
wrist swelling,Is your wrist swollen?,هل معصمك متورم؟
arm stiffness or tightness,Is your arm stiff or tight?,هل ذراعك متصلب أو مشدود؟
arm swelling,Is your arm swollen?,هل ذراعك متورم؟
hand or finger stiffness or tightness,Do your hands or fingers feel stiff or tight?,هل تشعر بأن يديك أو أصابعك متصلبة أو مشدودة؟
wrist stiffness or tightness,Is your wrist stiff or tight?,هل معصمك متصلب أو مشدود؟
lip swelling,Are your lips swollen?,هل شفاهك متورمة؟
toothache,Do you have a toothache?,هل لديك ألم في الأسنان؟
abnormal appearing skin,Is your skin abnormal in appearance?,هل جلدك غير طبيعي في المظهر؟
skin lesion,Do you have a skin lesion?,هل لديك آفة جلدية؟
acne or pimples,Do you have acne or pimples?,هل لديك حب الشباب أو بثور؟
dry lips,Are your lips dry?,هل شفاهك جافة؟
facial pain,Do you feel pain in your face?,هل تشعر بألم في وجهك؟
mouth ulcer,Do you have sores in your mouth?,هل لديك قروح في فمك؟
skin growth,Do you have an abnormal skin growth?,هل لديك نمو غير طبيعي في الجلد؟
eye deviation,Are your eyes not aligned properly?,هل عينيك غير متوازيتين بشكل صحيح؟
diminished vision,Have you noticed diminished vision?,هل لاحظت انخفاضًا في الرؤية؟
double vision,Are you experiencing double vision?,هل تعاني من رؤية مزدوجة؟
cross-eyed,Are your eyes crossing?,هل عينيك متقاطعتين؟
