diseases,grouped symptoms,disease probability
abdominal aortic aneurysm,"{'shortness of breath': 0.7608695652173914, 'palpitations': 0.7971014492753623, 'sharp abdominal pain': 0.5652173913043478, 'arm swelling': 0.7608695652173914, 'back pain': 0.4710144927536231, 'burning abdominal pain': 0.7898550724637681}",0.004
abdominal hernia,"{'groin mass': 0.5282555282555282, 'symptoms of the scrotum and testes': 0.7518427518427518, 'sharp abdominal pain': 0.5921375921375921, 'lower abdominal pain': 0.714987714987715, 'regurgitation': 0.5184275184275184, 'ache all over': 0.538083538083538, 'upper abdominal pain': 0.5601965601965602, 'swollen abdomen': 0.5356265356265356, 'regurgitation.1': 0.5184275184275184, 'irregular belly button': 0.5675675675675675}",0.1
abscess of nose,"{'sore throat': 0.5310344827586206, 'cough': 0.503448275862069, 'nasal congestion': 0.5310344827586206, 'irritable infant': 0.7758620689655172, 'vomiting': 0.8068965517241379, 'fever': 0.503448275862069, 'coryza': 0.5241379310344828, 'sinus congestion': 0.506896551724138}",0.002
abscess of the lung,"{'shortness of breath': 0.8947368421052632, 'depressive or psychotic symptoms': 1.0, 'cough': 0.4210526315789473, 'itchy eyelid': 0.7894736842105263}",0.001
abscess of the pharynx,"{'sharp chest pain': 0.7800586510263929, 'sore throat': 0.5278592375366569, 'cough': 0.4926686217008797, 'nasal congestion': 0.4868035190615836, 'throat swelling': 0.6950146627565983, 'difficulty in swallowing': 0.4985337243401759, 'headache': 0.7272727272727273, 'fever': 0.5073313782991202}",0.001
acanthosis nigricans,"{'skin lesion': 0.6333333333333333, 'acne or pimples': 0.8333333333333334, 'skin growth': 0.8666666666666667, 'weight gain': 0.6333333333333333}",0.03
acariasis,"{'emotional symptoms': 0.9166666666666666, 'swelling of scrotum': 0.7222222222222222, 'itching of skin': 0.4722222222222222, 'skin rash': 0.4722222222222222}",0.005
achalasia,"{'sharp chest pain': 0.5, 'chest tightness': 0.8452380952380952, 'cough': 0.7738095238095238, 'throat feels tight': 0.6785714285714286, 'difficulty in swallowing': 0.5238095238095238}",0.002
acne,"{'skin swelling': 0.4979838709677419, 'abnormal appearing skin': 0.5483870967741935, 'acne or pimples': 0.5141129032258065, 'skin growth': 0.4979838709677419, 'irregular appearing scalp': 0.6915322580645161, 'skin moles': 0.5120967741935484, 'long menstrual periods': 0.6693548387096774, 'skin dryness, peeling, scaliness, or roughness': 0.6794354838709677, 'skin rash': 0.5282258064516129}",0.8
actinic keratosis,"{'skin swelling': 0.495049504950495, 'abnormal appearing skin': 0.504950495049505, 'skin lesion': 0.4851485148514851, 'skin growth': 0.504950495049505, 'irregular appearing scalp': 0.528052805280528, 'skin moles': 0.5181518151815182, 'symptoms of the face': 0.6985698569856986, 'itching of skin': 0.5148514851485149, 'skin dryness, peeling, scaliness, or roughness': 0.5236523652365237, 'skin irritation': 0.4972497249724972, 'skin rash': 0.4961496149614962}",0.05
