Disease,Recommendations,Doctor
abdominal aortic aneurysm,"['Monitor blood pressure regularly', 'Avoid heavy lifting', 'Consult a vascular surgeon for evaluation']",Vascular Surgeon
abdominal hernia,"['Avoid heavy lifting', 'Consider surgical evaluation', 'Monitor for signs of strangulation']",General Surgeon
abscess of nose,"['Keep the area clean', 'Apply warm compresses', 'Consult a healthcare provider for drainage if necessary']",ENT Specialist
abscess of the lung,"['Seek immediate medical attention', 'Follow prescribed antibiotic treatment', 'Monitor for breathing difficulties']",Pulmonologist
abscess of the pharynx,"['Consult a healthcare provider', 'Consider antibiotics', 'Monitor for swallowing difficulties']",ENT Specialist
acanthosis nigricans,"['Consult a dermatologist', 'Manage underlying conditions like diabetes', 'Consider weight management strategies']",Dermatologist
acariasis,"['Consult a healthcare provider for treatment', 'Consider environmental cleaning', 'Avoid scratching to prevent secondary infections']",Dermatologist
achalasia,"['Consult a gastroenterologist', 'Consider dilation or surgery', 'Manage dietary intake to ease symptoms']",Gastroenterologist
acne,"['Maintain a good skincare routine', 'Consult a dermatologist for topical treatments', 'Avoid picking or squeezing lesions']",Dermatologist
actinic keratosis,"['Consult a dermatologist for evaluation', 'Consider cryotherapy or topical treatments', 'Protect skin from sun exposure']",Dermatologist
acute bronchiolitis,"['Seek medical attention if symptoms worsen', 'Ensure hydration', 'Use a humidifier to ease breathing']",Pediatrician
acute bronchitis,"['Rest and stay hydrated', 'Avoid smoking and irritants', 'Consult a healthcare provider if symptoms persist']",Pulmonologist
acute bronchospasm,"['Use prescribed bronchodilators', 'Avoid known triggers', 'Seek immediate medical help if severe']",Pulmonologist
acute fatty liver of pregnancy (aflp),"['Consult a healthcare provider immediately', 'Monitor liver function', 'Consider early delivery if necessary']",Obstetrician
acute glaucoma,"['Seek immediate medical attention', 'Use prescribed medications', 'Consider surgical options if necessary']",Ophthalmologist
acute kidney injury,"['Seek immediate medical attention', 'Follow prescribed treatment plans', 'Monitor kidney function regularly']",Nephrologist
acute otitis media,"['Consult a healthcare provider', 'Consider pain relief measures', 'Follow prescribed antibiotic treatment if necessary']",ENT Specialist
acute pancreatitis,"['Avoid alcohol and fatty foods', 'Follow a low-fat diet', 'Stay hydrated and consult a healthcare provider']",Gastroenterologist
acute respiratory distress syndrome (ards),"['Seek immediate medical attention', 'Consider hospitalization for monitoring', 'Follow prescribed treatment plans']",Pulmonologist
acute sinusitis,"['Consider saline nasal sprays', 'Consult a healthcare provider for evaluation', 'Stay hydrated and rest']",ENT Specialist
