diseases,grouped symptoms,disease probability
abdominal aortic aneurysm,"{'palpitations': 0.7971014492753623, 'burning abdominal pain': 0.7898550724637681, 'shortness of breath': 0.7608695652173914, 'arm swelling': 0.7608695652173914, 'sharp abdominal pain': 0.5652173913043478, 'back pain': 0.47101449275362317}",0.004
abdominal hernia,"{'symptoms of the scrotum and testes': 0.7518427518427518, 'lower abdominal pain': 0.714987714987715, 'sharp abdominal pain': 0.5921375921375921, 'irregular belly button': 0.5675675675675675, 'upper abdominal pain': 0.5601965601965602, 'ache all over': 0.538083538083538, 'swollen abdomen': 0.5356265356265356, 'groin mass': 0.5282555282555282, 'regurgitation': 0.5184275184275184, 'regurgitation.1': 0.5184275184275184}",0.1
abscess of nose,"{'vomiting': 0.8068965517241379, 'irritable infant': 0.7758620689655172, 'sore throat': 0.5310344827586206, 'nasal congestion': 0.5310344827586206, 'coryza': 0.5241379310344828, 'sinus congestion': 0.506896551724138, 'cough': 0.503448275862069, 'fever': 0.503448275862069}",0.002
abscess of the lung,"{'depressive or psychotic symptoms': 1.0, 'shortness of breath': 0.8947368421052632, 'itchy eyelid': 0.7894736842105263, 'cough': 0.42105263157894735}",0.001
abscess of the pharynx,"{'sharp chest pain': 0.7800586510263929, 'headache': 0.7272727272727273, 'throat swelling': 0.6950146627565983, 'sore throat': 0.5278592375366569, 'fever': 0.5073313782991202, 'difficulty in swallowing': 0.49853372434017595, 'cough': 0.49266862170087977, 'nasal congestion': 0.4868035190615836}",0.001
acanthosis nigricans,"{'skin growth': 0.8666666666666667, 'acne or pimples': 0.8333333333333334, 'skin lesion': 0.6333333333333333, 'weight gain': 0.6333333333333333}",0.03
acariasis,"{'emotional symptoms': 0.9166666666666666, 'swelling of scrotum': 0.7222222222222222, 'itching of skin': 0.4722222222222222, 'skin rash': 0.4722222222222222}",0.005
achalasia,"{'chest tightness': 0.8452380952380952, 'cough': 0.7738095238095238, 'throat feels tight': 0.6785714285714286, 'difficulty in swallowing': 0.5238095238095238, 'sharp chest pain': 0.5}",0.002
acne,"{'irregular appearing scalp': 0.6915322580645161, 'skin dryness, peeling, scaliness, or roughness': 0.6794354838709677, 'long menstrual periods': 0.6693548387096774, 'abnormal appearing skin': 0.5483870967741935, 'skin rash': 0.5282258064516129, 'acne or pimples': 0.5141129032258065, 'skin moles': 0.5120967741935484, 'skin swelling': 0.49798387096774194, 'skin growth': 0.49798387096774194}",0.8
actinic keratosis,"{'symptoms of the face': 0.6985698569856986, 'irregular appearing scalp': 0.528052805280528, 'skin dryness, peeling, scaliness, or roughness': 0.5236523652365237, 'skin moles': 0.5181518151815182, 'itching of skin': 0.5148514851485149, 'abnormal appearing skin': 0.504950495049505, 'skin growth': 0.504950495049505, 'skin irritation': 0.49724972497249725, 'skin rash': 0.4961496149614962, 'skin swelling': 0.49504950495049505, 'skin lesion': 0.48514851485148514}",0.05
acute bronchiolitis,"{'nasal congestion': 0.5232558139534884, 'fever': 0.5232558139534884, 'wheezing': 0.5191029900332226, 'vomiting': 0.5157807308970099, 'hurts to breath': 0.5141196013289037, 'cough': 0.5132890365448505, 'decreased appetite': 0.5083056478405316, 'difficulty breathing': 0.49667774086378735, 'irritable infant': 0.49335548172757476, 'pulling at ears': 0.49335548172757476, 'shortness of breath': 0.4792358803986711, 'coryza': 0.4792358803986711}",0.1
acute bronchitis,"{'nasal congestion': 0.5226710634789777, 'fever': 0.5201978565539983, 'coryza': 0.5185490519373455, 'cough': 0.516075845012366, 'headache': 0.516075845012366, 'sore throat': 0.5086562242374278, 'sharp chest pain': 0.5020610057708161, 'congestion in chest': 0.49958779884583676, 'wheezing': 0.4962901896125309, 'coughing up sputum': 0.49546578730420443, 'difficulty breathing': 0.4896949711459192, 'shortness of breath': 0.48557295960428687}",0.05
acute bronchospasm,"{'vomiting': 0.6876379690949227, 'cough': 0.5342163355408388, 'sore throat': 0.5242825607064018, 'difficulty breathing': 0.5209713024282561, 'wheezing': 0.5187637969094923, 'nasal congestion': 0.5143487858719646, 'sharp chest pain': 0.5066225165562914, 'fever': 0.5022075055187638, 'chest tightness': 0.49337748344370863, 'coryza': 0.4867549668874172, 'shortness of breath': 0.4856512141280353}",0.02
acute fatty liver of pregnancy (aflp),"{'emotional symptoms': 1.0, 'sharp abdominal pain': 0.8888888888888888}",0.01
acute glaucoma,"{'double vision': 0.7285714285714285, 'foreign body sensation in eye': 0.6952380952380952, 'diminished vision': 0.5714285714285714, 'pain in eye': 0.5666666666666667, 'symptoms of eye': 0.5380952380952381, 'eye redness': 0.5047619047619047, 'blindness': 0.4857142857142857, 'spots or clouds in vision': 0.4714285714285714}",0.0005
acute kidney injury,"{'retention of urine': 0.6828193832599119, 'weakness': 0.5407488986784141, 'vomiting': 0.5330396475770925, 'nausea': 0.5154185022026432, 'kidney mass': 0.5044052863436124, 'peripheral edema': 0.5022026431718062, 'sharp chest pain': 0.501101321585903, 'sharp abdominal pain': 0.5, 'shortness of breath': 0.4966960352422907, 'dizziness': 0.4878854625550661, 'symptoms of the kidneys': 0.47577092511013214}",0.15
acute otitis media,"{'diminished hearing': 0.6617862371888726, 'coryza': 0.6530014641288433, 'plugged feeling in ear': 0.527086383601757, 'fever': 0.5168374816983895, 'redness in ear': 0.5168374816983895, 'ear pain': 0.5036603221083455, 'nasal congestion': 0.4978038067349927, 'cough': 0.49633967789165445, 'sore throat': 0.49194729136163984, 'fluid in ear': 0.486090775988287}",0.25
acute pancreatitis,"{'burning abdominal pain': 0.5252692626346314, 'nausea': 0.5153272576636289, 'vomiting': 0.5144987572493787, 'abusing alcohol': 0.5086992543496272, 'hemoptysis': 0.5086992543496272, 'diarrhea': 0.5062137531068766, 'upper abdominal pain': 0.5045567522783762, 'back pain': 0.5004142502071252, 'sharp abdominal pain': 0.4979287489643745, 'lower body pain': 0.49544324772162385, 'side pain': 0.49295774647887325, 'sharp chest pain': 0.4904722452361226}",0.01
