symptoms,grouped diseases
anxiety and nervousness,"{'acute stress reaction': 0.04603158220662607, 'adjustment reaction': 0.026215295696150272, 'adrenal adenoma': 0.0030962947672618433, 'alcohol abuse': 0.02466714831251935, 'alcohol intoxication': 0.02549282691712251, 'amyloidosis': 0.00041283930230157914, 'anxiety': 0.06089379708948292, 'asperger syndrome': 0.017855299824543296, 'attention deficit hyperactivity disorder (adhd)': 0.02549282691712251, 'bipolar disorder': 0.03333677366085251, 'conversion disorder': 0.0020641965115078954, 'depression': 0.04582516255547528, 'dissociative disorder': 0.006295799360099081, 'drug abuse': 0.0296212199401383, 'drug abuse (barbiturates)': 0.004954071627618949, 'drug abuse (methamphetamine)': 0.024563938486943958, 'drug abuse (opioids)': 0.03024047889359067, 'drug withdrawal': 0.018474558777995666, 'dysthymic disorder': 0.026628134998451854, 'eating disorder': 0.02631850552172567, 'extrapyramidal effect of drugs': 0.004644442150892765, 'galactorrhea of unknown cause': 0.0011353080813293426, 'huntington disease': 0.00010320982557539478, 'hypertrophic obstructive cardiomyopathy (hocm)': 0.0006192589534523686, 'impulse control disorder': 0.02466714831251935, 'irritable bowel syndrome': 0.024563938486943958, 'marijuana abuse': 0.06099700691505831, 'neurosis': 0.045618742904324494, 'obsessive compulsive disorder (ocd)': 0.0237382598823408, 'panic attack': 0.015378264010733823, 'panic disorder': 0.04654763133450304, 'parathyroid adenoma': 0.0014449375580555268, 'personality disorder': 0.046134792032201465, 'poisoning due to antipsychotics': 0.0010320982557539477, 'post-traumatic stress disorder (ptsd)': 0.02869233150995975, 'postpartum depression': 0.02611208587057488, 'primary insomnia': 0.017132831045515533, 'psychotic disorder': 0.04479306429972133, 'schizophrenia': 0.044586644648570546, 'social phobia': 0.025802456393848695, 'somatization disorder': 0.004644442150892765, 'spinocerebellar ataxia': 0.0008256786046031583, 'substance-related mental disorder': 0.014965424708432243, 'tension headache': 0.014759005057281453, 'testicular cancer': 0.0010320982557539477, 'tricuspid valve disease': 0.000928888430178553, 'wernicke korsakoff syndrome': 0.0006192589534523686}"
depression,"{'acute stress reaction': 0.04291398256915498, 'adjustment reaction': 0.03183023872679045, 'alcohol abuse': 0.025577870405456612, 'alcohol intoxication': 0.01733611216369837, 'alzheimer disease': 0.016199317923455855, 'anxiety': 0.058165971959075406, 'asperger syndrome': 0.016767715043577113, 'attention deficit hyperactivity disorder (adhd)': 0.025009473285335353, 'bipolar disorder': 0.0325881015536188, 'conduct disorder': 0.03126184160666919, 'conversion disorder': 0.0011367942402425162, 'delirium': 0.026525198938992044, 'depression': 0.04348237968927624, 'dislocation of the elbow': 0.0037893141341417205, 'dislocation of the wrist': 0.003126184160666919, 'drug abuse': 0.028419856006062904, 'drug abuse (barbiturates)': 0.005115574081091322, 'drug abuse (cocaine)': 0.014399393709738537, 'drug abuse (opioids)': 0.027946191739295186, 'drug poisoning due to medication': 0.009946949602122016, 'drug withdrawal': 0.0182834406972338, 'dysthymic disorder': 0.025198938992042442, 'eating disorder': 0.025293671845395983, 'factitious disorder': 0.0012315270935960591, 'heart contusion': 0.001042061386888973, 'hepatitis due to a toxin': 0.02396741189844638, 'impulse control disorder': 0.016578249336870028, 'kaposi sarcoma': 9.473285335354301e-05, 'marijuana abuse': 0.05712391057218644, 'neurosis': 0.04376657824933687, 'obsessive compulsive disorder (ocd)': 0.021599090564607806, 'panic disorder': 0.042724516862447895, 'personality disorder': 0.04310344827586207, 'poisoning due to analgesics': 0.0037893141341417205, 'poisoning due to anticonvulsants': 0.003220917014020462, 'poisoning due to antidepressants': 0.0017051913603637742, 'poisoning due to ethylene glycol': 0.0022735884804850324, 'poisoning due to sedatives': 0.007104964001515726, 'post-traumatic stress disorder (ptsd)': 0.028135657446002275, 'postpartum depression': 0.025388404698749527, 'protein deficiency': 0.005494505494505495, 'psychosexual disorder': 0.009946949602122016, 'psychotic disorder': 0.04386131110269041, 'restless leg syndrome': 0.013357332322849564, 'schizophrenia': 0.04480863963622584, 'social phobia': 0.024725274725274724, 'somatization disorder': 0.004547176960970065, 'turner syndrome': 9.473285335354301e-05}"
shortness of breath,"{'abdominal aortic aneurysm': 0.004918954370842312, 'abscess of the lung': 0.0007964021362316125, 'acute bronchiolitis': 0.027030825447390612, 'acute bronchitis': 0.02759299166120116, 'acute bronchospasm': 0.0206127611730535, 'acute kidney injury': 0.021128080202379836, 'acute respiratory distress syndrome (ards)': 0.010400074955495175, 'acute stress reaction': 0.02094069146444299, 'adrenal adenoma': 0.0014991099034948, 'amyloidosis': 0.0001405415534526375, 'anemia': 0.008151410100252976, 'anemia due to chronic kidney disease': 0.00131172116555795, 'anemia due to malignancy': 0.0003747774758737, 'angina': 0.020706455542021926, 'anxiety': 0.028342546612948563, 'aortic valve disease': 0.010400074955495175, 'arrhythmia': 0.008666729129579312, 'ascending cholangitis': 0.0029982198069896, 'aspergillosis': 0.000468471844842125, 'asthma': 0.020519066804085075, 'atelectasis': 0.002904525438021175, 'atrial fibrillation': 0.0018738873793685, 'atrial flutter': 0.0059964396139792, 'cardiac arrest': 0.009135200974421437, 'cardiomyopathy': 0.0077297854398950625, 'central atherosclerosis': 0.0006090133982947625, 'chronic kidney disease': 0.00018738873793685, 'chronic obstructive pulmonary disease (copd)': 0.0206127611730535, 'chronic rheumatic fever': 0.003747774758737, 'cirrhosis': 0.008479340391642462, 'coronary atherosclerosis': 0.0025765951466316874, 'croup': 0.020378525250632436, 'cysticercosis': 0.001405415534526375, 'drug abuse (methamphetamine)': 0.008479340391642462, 'drug reaction': 0.021081233017895624, 'emphysema': 0.001405415534526375, 'empyema': 0.0002342359224210625, 'endocarditis': 0.0022955120397264123, 'esophageal cancer': 0.0026234423311159, 'esophagitis': 0.0269839782629064, 'fluid overload': 0.0082451044692214, 'folate deficiency': 0.0011711796121053125, 'foreign body in the throat': 0.0053405790312002245, 'fracture of the rib': 0.027452450107748525, 'glucocorticoid deficiency': 0.000655860582778975, 'heart attack': 0.021081233017895624, 'heart block': 0.013445141946968987, 'heart failure': 0.020519066804085075, 'heat exhaustion': 0.010353227771010963, 'hepatic encephalopathy': 0.0011711796121053125, 'hyperkalemia': 0.015600112433242762, 'hypernatremia': 0.0031387613604422376, 'hypertensive heart disease': 0.020378525250632436, 'hypocalcemia': 0.0015459570879790125, 'hypokalemia': 0.0123676567038321, 'hyponatremia': 0.01606858427808489, 'interstitial lung disease': 0.015412723695305912, 'ischemic heart disease': 0.020378525250632436, 'kidney disease due to longstanding hypertension': 0.0005153190293263375, 'kidney failure': 0.006652300196758175, 'lactose intolerance': 0.00356038602080015, 'liver disease': 0.027030825447390612, 'lung cancer': 0.0012648739810737376, 'lung contusion': 0.0007027077672631875, 'magnesium deficiency': 0.0014522627190105876, 'malignant hypertension': 0.004263093788063338, 'mitral valve disease': 0.016021737093600674, 'myasthenia gravis': 0.005715356507073925, 'narcolepsy': 0.006136981167431837, 'obstructive sleep apnea (osa)': 0.02693713107842219, 'panic attack': 0.004918954370842312, 'panic disorder': 0.02084699709547456, 'paroxysmal supraventricular tachycardia': 0.008713576314063524, 'paroxysmal ventricular tachycardia': 0.015131640588400637, 'pericarditis': 0.00430994097254755, 'peritonitis': 0.012039726412442612, 'pleural effusion': 0.013023517286611075, 'pneumoconiosis': 0.00056216621381055, 'pneumonia': 0.02754614447671695, 'pneumothorax': 0.007636091070926637, 'poisoning due to antimicrobial drugs': 0.0039820106811580625, 'poisoning due to gas': 0.005293731846716013, 'premature atrial contractions (pacs)': 0.00768293825541085, 'premature ventricular contractions (pvcs)': 0.011852337674505763, 'pulmonary congestion': 0.011899184858989975, 'pulmonary embolism': 0.02084699709547456, 'pulmonary eosinophilia': 0.00430994097254755, 'pulmonary fibrosis': 0.0031387613604422376, 'pulmonary hypertension': 0.010774852431368874, 'pulmonic valve disease': 0.0005153190293263375, 'sarcoidosis': 0.00805771573128455, 'sepsis': 0.028248852243980136, 'sick sinus syndrome': 0.0054811205846528625, 'sinus bradycardia': 0.021081233017895624, 'smoking or tobacco addiction': 0.020519066804085075, 'thoracic aortic aneurysm': 0.004918954370842312, 'tietze syndrome': 0.007917174177831911, 'tracheitis': 0.006136981167431837, 'tuberculosis': 0.0005153190293263375, 'valley fever': 0.0003279302913894875, 'whooping cough': 0.0014522627190105876}"
depressive or psychotic symptoms,"{'abscess of the lung': 0.0012612851832182687, 'acute respiratory distress syndrome (ards)': 0.01533457249070632, 'acute stress reaction': 0.03093467870419543, 'alcohol abuse': 0.016330323951141795, 'alcohol intoxication': 0.013011152416356878, 'alcohol withdrawal': 0.02854487519915029, 'alzheimer disease': 0.012347318109399893, 'anxiety': 0.04109134360063728, 'asperger syndrome': 0.012612851832182687, 'attention deficit hyperactivity disorder (adhd)': 0.01652947424322889, 'autism': 0.015135422198619224, 'bipolar disorder': 0.02257036643653744, 'birth trauma': 0.0007302177376526819, 'carbon monoxide poisoning': 0.005045140732873075, 'conduct disorder': 0.022968667020711632, 'cryptococcosis': 0.0007302177376526819, 'delirium': 0.019715878916622413, 'dementia': 0.015467339352097716, 'depression': 0.029607010090281466, 'developmental disability': 0.029673393520977163, 'diabetic ketoacidosis': 0.02170738183749336, 'dissociative disorder': 0.003319171534784918, 'drug abuse': 0.01891927774827403, 'drug abuse (cocaine)': 0.009625597450876261, 'drug abuse (methamphetamine)': 0.011550716941051514, 'drug abuse (opioids)': 0.01898566117896973, 'drug poisoning due to medication': 0.007235793945831121, 'dysthymic disorder': 0.016861391396707382, 'eating disorder': 0.016728624535315983, 'epidural hemorrhage': 0.0006638343069569836, 'factitious disorder': 0.0006638343069569836, 'fetal alcohol syndrome': 0.00046468401486988845, 'fracture of the skull': 0.003916622411046203, 'hepatic encephalopathy': 0.002257036643653744, 'hydrocephalus': 0.0055762081784386614, 'hyperkalemia': 0.029938927243759957, 'hypoglycemia': 0.03856877323420074, 'hypothermia': 0.0005974508762612852, 'impulse control disorder': 0.011484333510355816, 'insulin overdose': 0.0005974508762612852, 'intracerebral hemorrhage': 0.019383961763143918, 'intracranial abscess': 0.0007302177376526819, 'intracranial hemorrhage': 0.016795007966011685, 'lewy body dementia': 0.0038502389803505045, 'lyme disease': 0.009625597450876261, 'malignant hypertension': 0.00929368029739777, 'marijuana abuse': 0.04009559214020181, 'meningioma': 0.001128518321826872, 'moyamoya disease': 0.0007966011683483802, 'neurosis': 0.02973977695167286, 'normal pressure hydrocephalus': 0.001526818906001062, 'obsessive compulsive disorder (ocd)': 0.015135422198619224, 'oppositional disorder': 0.014139670738183749, 'panic disorder': 0.041157727031332976, 'personality disorder': 0.029673393520977163, 'poisoning due to analgesics': 0.002389803505045141, 'poisoning due to antihypertensives': 0.0009293680297397769, 'poisoning due to ethylene glycol': 0.0013940520446096654, 'poisoning due to opioids': 0.00046468401486988845, 'poisoning due to sedatives': 0.004514073287307488, 'post-traumatic stress disorder (ptsd)': 0.01931757833244822, 'postpartum depression': 0.016662241104620286, 'premenstrual tension syndrome': 0.007169410515135422, 'psychotic disorder': 0.029806160382368562, 'rhabdomyolysis': 0.0005974508762612852, 'schizophrenia': 0.029938927243759957, 'social phobia': 0.015998406797663303, 'stroke': 0.021176314391927773, 'subdural hemorrhage': 0.00564259160913436, 'substance-related mental disorder': 0.007567711099309612, 'tic (movement) disorder': 0.0036510886882634096, 'tourette syndrome': 0.0010621348911311736, 'transient ischemic attack': 0.028013807753584707, 'tuberous sclerosis': 0.0003983005841741901, 'volvulus': 0.0007302177376526819, 'wernicke korsakoff syndrome': 0.00019915029208709506}"
sharp chest pain,"{'abscess of the pharynx': 0.011075949367088608, 'achalasia': 0.0017488341105929381, 'acute bronchitis': 0.0253580946035976, 'acute bronchospasm': 0.01911225849433711, 'acute kidney injury': 0.01894570286475683, 'acute pancreatitis': 0.02465023317788141, 'acute respiratory distress syndrome (ards)': 0.009785143237841439, 'acute stress reaction': 0.020153231179213856, 'alcohol intoxication': 0.01015989340439707, 'alcohol withdrawal': 0.014115589606928713, 'angina': 0.019695203197868088, 'anxiety': 0.02648234510326449, 'aortic valve disease': 0.012824783477681546, 'arrhythmia': 0.006037641572285144, 'asthma': 0.019070619586942037, 'atelectasis': 0.0024566955363091274, 'atrial fibrillation': 0.0015406395736175882, 'atrial flutter': 0.00841105929380413, 'cardiac arrest': 0.00782811459027315, 'cardiomyopathy': 0.007203530979347102, 'celiac disease': 0.004705196535642905, 'cholecystitis': 0.024108927381745502, 'choledocholithiasis': 0.00916055962691539, 'chronic obstructive pulmonary disease (copd)': 0.02614923384410393, 'chronic rheumatic fever': 0.0034976682211858763, 'congenital heart defect': 0.0008327781479013991, 'coronary atherosclerosis': 0.002331778814123917, 'diabetic ketoacidosis': 0.014240506329113924, 'drug abuse (cocaine)': 0.005996002664890073, 'emphysema': 0.0005829447035309793, 'empyema': 0.0002498334443704197, 'endocarditis': 0.001998667554963358, 'esophagitis': 0.02544137241838774, 'fibromyalgia': 0.013574283810792806, 'fluid overload': 0.0092854763491006, 'folate deficiency': 0.0008744170552964691, 'fracture of the rib': 0.019070619586942037, 'frostbite': 0.0004996668887408394, 'gallstone': 0.018112924716855428, 'gastritis': 0.013699200532978014, 'gastroduodenal ulcer': 0.013990672884743505, 'gastroesophageal reflux disease (gerd)': 0.00949367088607595, 'gastroparesis': 0.0051215856095936044, 'granuloma inguinale': 0.00041638907395069954, 'heart attack': 0.01848767488341106, 'heart block': 0.011950366422385077, 'heart failure': 0.01923717521652232, 'heat exhaustion': 0.005454696868754164, 'hiatal hernia': 0.01832111925383078, 'high blood pressure': 4.1638907395069954e-05, 'hypercholesterolemia': 0.00016655562958027982, 'hyperkalemia': 0.013865756162558295, 'hyperlipidemia': 0.00012491672218520986, 'hypertensive heart disease': 0.01923717521652232, 'hypertrophic obstructive cardiomyopathy (hocm)': 0.00016655562958027982, 'hypocalcemia': 0.0019153897401732178, 'hypokalemia': 0.016239173884077283, 'hyponatremia': 0.013532644903397735, 'indigestion': 0.0092854763491006, 'injury to internal organ': 0.0043304463690872754, 'injury to the abdomen': 0.0014990006662225182, 'injury to the trunk': 0.01832111925383078, 'intestinal disease': 0.007911392405063292, 'ischemic heart disease': 0.019861758827448367, 'kidney failure': 0.00807794803464357, 'lung contusion': 0.0004996668887408394, 'magnesium deficiency': 0.0014573617588274483, 'malignant hypertension': 0.003539307128580946, 'mitral valve disease': 0.010409726848767488, 'muscle spasm': 0.013491005996002664, 'myocarditis': 4.1638907395069954e-05, 'open wound of the chest': 4.1638907395069954e-05, 'orthostatic hypotension': 0.005871085942704864, 'pain after an operation': 0.01873750832778148, 'panic attack': 0.0059127248500999334, 'paroxysmal supraventricular tachycardia': 0.00841105929380413, 'paroxysmal ventricular tachycardia': 0.014365423051299134, 'pericarditis': 0.0033311125916055963, 'pleural effusion': 0.012283477681545637, 'pneumonia': 0.025274816788807462, 'pneumothorax': 0.005996002664890073, 'poisoning due to antipsychotics': 0.00041638907395069954, 'poisoning due to gas': 0.006245836109260493, 'polymyalgia rheumatica': 0.003289473684210526, 'premature ventricular contractions (pvcs)': 0.007370086608927382, 'pulmonary congestion': 0.011159227181878747, 'pulmonary embolism': 0.0194037308461026, 'pulmonary eosinophilia': 0.003955696202531646, 'pulmonary fibrosis': 0.002789806795469687, 'pulmonary hypertension': 0.0097018654230513, 'rhabdomyolysis': 0.00033311125916055963, 'sarcoidosis': 0.00995169886742172, 'shingles (herpes zoster)': 0.012741505662891405, 'sickle cell crisis': 0.01844603597601599, 'sinus bradycardia': 0.019070619586942037, 'smoking or tobacco addiction': 0.019320453031312457, 'stricture of the esophagus': 0.002789806795469687, 'systemic lupus erythematosis (sle)': 0.003705862758161226, 'thoracic aortic aneurysm': 0.0036642238507661557, 'thoracic outlet syndrome': 0.005871085942704864, 'thrombocytopenia': 0.0030396402398401067, 'tietze syndrome': 0.007661558960692871, 'vertebrobasilar insufficiency': 0.0009160559626915389, 'zenker diverticulum': 0.00037475016655562956}"
dizziness,"{'acute kidney injury': 0.025648448355720242, 'acute stress reaction': 0.02703798054654933, 'adrenal cancer': 0.00017369152385363594, 'alcohol withdrawal': 0.025880037054191757, 'anemia': 0.010826771653543307, 'anemia of chronic disease': 0.00214219546086151, 'angina': 0.025532654006484485, 'arrhythmia': 0.011637332098193608, 'atelectasis': 0.004747568318666049, 'atrial fibrillation': 0.002431681333950903, 'autonomic nervous system disorder': 0.004052802223251505, 'benign paroxysmal positional vertical (bppv)': 0.013374247336729967, 'carbon monoxide poisoning': 0.0026632700324224177, 'cerebral edema': 0.005442334414080593, 'chronic inflammatory demyelinating polyneuropathy (cidp)': 0.0010421491431218156, 'chronic rheumatic fever': 0.006542380731820287, 'concussion': 0.03421723019916628, 'conductive hearing loss': 0.01592172301991663, 'diabetes insipidus': 0.0006947660954145438, 'drug reaction': 0.026632700324224177, 'drug withdrawal': 0.009668828161185734, 'ectopic pregnancy': 0.010305697081982399, 'encephalitis': 0.0035317276516905974, 'endocarditis': 0.002489578508568782, 'epidural hemorrhage': 0.0005789717461787865, 'esophageal varices': 0.00017369152385363594, 'essential tremor': 0.008221398795738768, 'eustachian tube dysfunction (ear disorder)': 0.02605372857804539, 'gastrointestinal hemorrhage': 0.0333487725798981, 'graves disease': 0.009784622510421491, 'guillain barre syndrome': 0.0028948587308939323, 'head injury': 0.00468967114404817, 'headache after lumbar puncture': 0.004631773969430292, 'heart block': 0.016848077813802688, 'heat exhaustion': 0.007642427049559981, 'heat stroke': 5.789717461787865e-05, 'hiatal hernia': 0.0265748031496063, 'hydatidiform mole': 0.0033580361278369615, 'hypercalcemia': 0.00028948587308939323, 'hyperemesis gravidarum': 0.025648448355720242, 'hyperkalemia': 0.019858730893932378, 'hypoglycemia': 0.03514358499305234, 'hypovolemia': 0.016848077813802688, 'intracerebral hemorrhage': 0.017079666512274203, 'intracranial hemorrhage': 0.009726725335803613, 'iron deficiency anemia': 0.019511347846225106, 'ischemic heart disease': 0.02622742010189903, 'labyrinthitis': 0.01887447892542844, 'magnesium deficiency': 0.0015053265400648448, 'mastoiditis': 0.004631773969430292, 'meniere disease': 0.008337193144974525, 'meningioma': 0.0010421491431218156, 'migraine': 0.006542380731820287, 'mitral valve disease': 0.015053265400648448, 'multiple sclerosis': 0.025764242704956, 'myasthenia gravis': 0.007005558128763316, 'myocarditis': 5.789717461787865e-05, 'nonalcoholic liver disease (nash)': 0.002605372857804539, 'orthostatic hypotension': 0.008279295970356646, 'otosclerosis': 0.0010421491431218156, 'pain disorder affecting the neck': 0.011174154701250579, 'panic disorder': 0.027674849467345993, 'parkinson disease': 0.014184807781380268, 'paroxysmal supraventricular tachycardia': 0.010884668828161186, 'paroxysmal ventricular tachycardia': 0.026690597498842058, 'pelvic fistula': 0.00028948587308939323, 'peripheral nerve disorder': 0.03346456692913386, 'persistent vomiting of unknown cause': 0.007931912922649375, 'pneumoconiosis': 0.000810560444650301, 'poisoning due to anticonvulsants': 0.0013895321908290875, 'poisoning due to gas': 0.009553033811949977, 'poisoning due to opioids': 0.0005210745715609078, 'polycythemia vera': 0.0023737841593330245, 'premature atrial contractions (pacs)': 0.009263547938860583, 'presbyacusis': 0.0017369152385363594, 'primary thrombocythemia': 0.00017369152385363594, 'pseudotumor cerebri': 0.0014474293654469662, 'pulmonary eosinophilia': 0.00810560444650301, 'sensorineural hearing loss': 0.01887447892542844, 'sick sinus syndrome': 0.004921259842519685, 'sinus bradycardia': 0.025995831403427514, 'somatization disorder': 0.0037054191755442334, 'spinocerebellar ataxia': 0.00028948587308939323, 'stroke': 0.019453450671607225, 'subarachnoid hemorrhage': 0.004979157017137564, 'subdural hemorrhage': 0.005905511811023622, 'syndrome of inappropriate secretion of adh (siadh)': 0.00017369152385363594, 'tension headache': 0.00816350162112089, 'thoracic aortic aneurysm': 0.004573876794812413, 'tinnitus of unknown cause': 0.008510884668828161, 'transient ischemic attack': 0.020321908290875407, 'trigeminal neuralgia': 0.00810560444650301, 'vasculitis': 0.009089856415006948, 'vertebrobasilar insufficiency': 0.0006947660954145438}"
insomnia,"{'acute stress reaction': 0.04665022605836416, 'adjustment reaction': 0.035552815454171806, 'anxiety': 0.06350184956843404, 'bipolar disorder': 0.04531442663378545, 'dementia': 0.02681874229346486, 'depression': 0.04706124126592684, 'drug abuse (opioids)': 0.032161939991779694, 'dysthymic disorder': 0.026613234689683518, 'eating disorder': 0.034936292642827785, 'encephalitis': 0.008220304151253596, 'herpangina': 0.03154541718043568, 'hypertensive heart disease': 0.04551993423756679, 'impulse control disorder': 0.017673653925195234, 'infection of open wound': 0.0031853678586107686, 'irritable bowel syndrome': 0.03514180024660912, 'malignant hypertension': 0.015310316481709824, 'myoclonus': 0.0011302918207973696, 'narcolepsy': 0.015207562679819153, 'neurosis': 0.04695848746403617, 'obstructive sleep apnea (osa)': 0.0615495273325113, 'pain disorder affecting the neck': 0.01993423756678997, 'panic disorder': 0.04829428688861488, 'personality disorder': 0.04757501027538019, 'poisoning due to sedatives': 0.009042334566378957, 'post-traumatic stress disorder (ptsd)': 0.03226469379367036, 'primary insomnia': 0.010994656802301685, 'psychotic disorder': 0.06401561857788739, 'restless leg syndrome': 0.02342786683107275, 'schizophrenia': 0.0615495273325113, 'social phobia': 0.02568845047266749, 'substance-related mental disorder': 0.015002055076037813, 'thalassemia': 0.00010275380189066995, 'vulvar cancer': 0.0006165228113440197, 'wilson disease': 0.0014385532264693795}"
abnormal involuntary movements,"{'acute stress reaction': 0.06088431979239445, 'alcohol intoxication': 0.024852779718534782, 'alcohol withdrawal': 0.03363609142629005, 'alcoholic liver disease': 0.019263399540872344, 'amyotrophic lateral sclerosis (als)': 0.00538975945703164, 'anxiety': 0.06088431979239445, 'bell palsy': 0.044016368899091725, 'complex regional pain syndrome': 0.05938716438766344, 'cranial nerve palsy': 0.01776624413614133, 'de quervain disease': 0.007186345942708853, 'delirium': 0.029743487373989422, 'dementia': 0.01596965765046412, 'drug abuse (barbiturates)': 0.0035931729713544265, 'epilepsy': 0.00399241441261603, 'essential tremor': 0.011178760355324883, 'extrapyramidal effect of drugs': 0.005190138736400838, 'graves disease': 0.01207705359816349, 'hashimoto thyroiditis': 0.00019962072063080147, 'hemiplegia': 0.024952590078850184, 'hydrocephalus': 0.013973450444156103, 'hypocalcemia': 0.0036929833316698274, 'hypoglycemia': 0.06118375087334065, 'intracranial hemorrhage': 0.02285657251222677, 'lewy body dementia': 0.0049905180157700365, 'multiple sclerosis': 0.06088431979239445, 'muscle spasm': 0.03333666034534385, 'myoclonus': 0.0005988621618924045, 'neurofibromatosis': 0.00269487972851582, 'obstructive sleep apnea (osa)': 0.06068469907176365, 'orthostatic hypotension': 0.023555245034434576, 'panic disorder': 0.04681105898792295, 'parkinson disease': 0.026649366204212, 'peripheral nerve disorder': 0.06078450943207905, 'persistent vomiting of unknown cause': 0.015071364407625512, 'poisoning due to antimicrobial drugs': 0.008483880626809062, 'primary insomnia': 0.013075157201317496, 'pseudotumor cerebri': 0.004591276574508434, 'restless leg syndrome': 0.014472502245733107, 'scleritis': 0.004291845493562232, 'spinocerebellar ataxia': 0.0005988621618924045, 'stroke': 0.03273779818345144, 'tic (movement) disorder': 0.0049905180157700365, 'torticollis': 0.014572312606048507, 'tourette syndrome': 0.002395448647569618, 'toxic multinodular goiter': 0.0044914662141930335, 'trigeminal neuralgia': 0.01736700269487973}"
chest tightness,"{'achalasia': 0.007591958939264329, 'acute bronchospasm': 0.0477972626176219, 'acute respiratory distress syndrome (ards)': 0.03133019674935843, 'angina': 0.04929426860564585, 'arrhythmia': 0.014863130881094953, 'asthma': 0.046834901625320786, 'atrial flutter': 0.012724550898203593, 'cardiomyopathy': 0.023096663815226688, 'chronic obstructive pulmonary disease (copd)': 0.046834901625320786, 'chronic rheumatic fever': 0.009944396920444824, 'coronary atherosclerosis': 0.005560307955517536, 'esophagitis': 0.06501283147989735, 'gastroesophageal reflux disease (gerd)': 0.02470059880239521, 'heart attack': 0.04758340461933276, 'heart block': 0.032399486740804104, 'heart failure': 0.047369546621043625, 'hypertensive heart disease': 0.04929426860564585, 'ischemic heart disease': 0.04972198460222412, 'mitral valve disease': 0.0294054747647562, 'panic attack': 0.015932420872540633, 'panic disorder': 0.04940119760479042, 'paroxysmal supraventricular tachycardia': 0.020530367835757058, 'paroxysmal ventricular tachycardia': 0.03699743370402053, 'pericarditis': 0.01176218990590248, 'premature ventricular contractions (pvcs)': 0.019033361847733105, 'pulmonary congestion': 0.036142001710863986, 'pulmonary embolism': 0.04608639863130881, 'pulmonary fibrosis': 0.010906757912745937, 'sarcoidosis': 0.017857142857142856, 'sinus bradycardia': 0.06629597946963216, 'thoracic aortic aneurysm': 0.008661248930710009, 'tietze syndrome': 0.019033361847733105}"
palpitations,"{'abdominal aortic aneurysm': 0.017906560312550873, 'angina': 0.07748657007976559, 'anxiety': 0.09767214715936838, 'aortic valve disease': 0.03890607195181507, 'arrhythmia': 0.02539475826143578, 'atrial fibrillation': 0.0071626241250203485, 'atrial flutter': 0.021813446198925605, 'cardiac arrest': 0.0403711541592056, 'chronic rheumatic fever': 0.013999674426176136, 'coronary atherosclerosis': 0.009930001627869119, 'drug abuse (methamphetamine)': 0.029138857235878234, 'endocarditis': 0.011395083835259645, 'graves disease': 0.021650659286993324, 'heart block': 0.05013836887514244, 'heart failure': 0.07618427478430734, 'hypercholesterolemia': 0.0008139345596614033, 'hypertensive heart disease': 0.08025394758261435, 'ischemic heart disease': 0.07423083184111998, 'myocarditis': 0.00016278691193228064, 'normal pressure hydrocephalus': 0.004232459710239297, 'panic disorder': 0.07341689728145857, 'paroxysmal supraventricular tachycardia': 0.030766726355201043, 'pericarditis': 0.019046068696076834, 'premature atrial contractions (pacs)': 0.02034836399153508, 'premature ventricular contractions (pvcs)': 0.029138857235878234, 'pulmonary hypertension': 0.037766563568289106, 'sick sinus syndrome': 0.013185739866514732, 'sinus bradycardia': 0.07341689728145857, 'subacute thyroiditis': 0.004069672798307016}"
